nome_limpo;estado
12 Horas;rio-grande-do-sul
1° de Maio;pernambuco
4 de Julho;piaui
7 de Abril;rio-de-janeiro
Sete de Setembro;mato-grosso-do-sul
AA Araguaia;mato-grosso
AA Orleans;santa-catarina
ABC;rio-grande-do-norte
ABD FC;goias
ABECAT Ouvidorense;goias
AD Carmópolis;sergipe
ADEC;amapa
ADESG;acre
AE Paracatu;minas-gerais
APAFUT;rio-grande-do-sul
ARUC;distrito-federal
ASA;alagoas
ASEEV;goias
ASSU;rio-grande-do-norte
Academia-MT;mato-grosso
Afogados;pernambuco
Afogados da Ingazeira;pernambuco
Agrimaq Jequiaense;alagoas
Agua Santa;sao paulo
Aguia de Maraba;para
Aimoré;rio-grande-do-sul
Alecrim;rio-grande-do-norte
Aliança-CE;ceara
Altamira;para
Altos;piaui
Alvorada;amazonas
Alvorada-TO;tocantins
Amadense;sergipe
Amazonas;amazonas
Amazonas FC;amazonas
Amazônia Independente;para
America-RJ;rio-de-janeiro
Americano;rio-de-janeiro
Americano-MA;maranhao
Amparo;sao-paulo
América;rio grande do norte
América F.c.;rio grande do norte
América Mineiro;minas-gerais
América T.O.;minas-gerais
América de Pedrinhas;sergipe
América-GO;goias
América-PE;pernambuco
América-RN;rio-grande-do-norte
América-SE;sergipe
América-SP;sao-paulo
Anapolina;goias
Andirá-AC;acre
Andradina EC;sao-paulo
Andraus;parana
Angra dos Reis;rio-de-janeiro
Anjos do Céu;ceara
Anápolis;goias
Aparecida EC;goias
Aparecidense;goias
Apucarana Sports;parana
Aquidauanense;mato-grosso-do-sul
Aracaju;sergipe
Araguacema;tocantins
Araguaia de Palmas;tocantins
Araguari;minas-gerais
Araguaína;tocantins
Araioses;maranhao
Arapongas;parana
Araruama;rio-de-janeiro
Araucária EC;parana
Araxá;minas-gerais
Araçatuba;sao-paulo
Arraial do Cabo;rio-de-janeiro
Arsenal Caridade;ceara
Arsenal-TO;tocantins
Aruko;parana
Assisense;sao-paulo
Aster Brasil;espirito-santo
At. Itapemirim;espirito-santo
Athletic;minas gerais
Athletic Club;minas gerais
Athletic-MG;minas-gerais
Athletico Paranaense;parana
Athletico Paranaense B;parana
Atibaia;sao-paulo
Atl. Três Corações;minas-gerais
Atlhetic Ce;minas gerais
Atlético;bahia
Atlético Amazonense;amazonas
Atlético Bacabal;maranhao
Atlético Batistense;santa-catarina
Atlético Carioca;rio-de-janeiro
Atlético Catarinense;santa-catarina
Atlético Cearense;ceara
Atlético Central;sergipe
Atlético Cerrado;tocantins
Atlético Gloriense;sergipe
Atlético Goianiense;goias
Atlético Itajaí;santa-catarina
Atlético Mineiro;minas-gerais
Atlético Mogi;sao-paulo
Atlético Paraense;para
Atlético Patrocinense;minas gerais
Atlético Pernambucano;pernambuco
Atlético Piauiense;piaui
Atlético Roraima;roraima
Atlético Tubarão;santa-catarina
Atlético de Cajazeiras;paraiba
Atlético-AC;acre
Atlético-BA;bahia
Atlético-MT;mato-grosso
Atlético-PB;paraiba
Atlético-RS;rio-grande-do-sul
Audax Rio;rio-de-janeiro
Auto Esporte;paraiba
Avaí;santa-catarina
Avaí B;santa-catarina
Avenida;rio-grande-do-sul
Aymorés;minas-gerais
Azuriz;parana
Azuriz Futebol;parana
Ação;mato-grosso
Bacabal;maranhao
Bagé;rio-grande-do-sul
Bahia;bahia
Bahia de Feira;bahia
Bandeirante;sao-paulo
Bangu;rio-de-janeiro
Baraúnas;rio-grande-do-norte
Barbalha;ceara
Barcelona;rondonia
Barcelona Esportivo;sao-paulo
Barcelona de Ilhéus;bahia
Barcelona-RJ;rio-de-janeiro
Barcelona-RO;rondonia
Bare;amapa
Barra;santa catarina
Barra Mansa;rio-de-janeiro
Barra da Tijuca;rio-de-janeiro
Barra-SC;santa-catarina
Barra-SE;sergipe
Barreiros;pernambuco
Barretos;sao-paulo
Baré;roraima
Bataguassu;mato-grosso-do-sul
Batalhão;tocantins
Batatais;sao-paulo
Batel;parana
Bela Vista;rio-de-janeiro
Bela Vista FC;goias
Bela Vista-TO;tocantins
Belenense FC;para
Belford Roxo;rio-de-janeiro
Belo Jardim;pernambuco
Betim Futebol;minas-gerais
Betis FC;minas-gerais
Blumenau;santa-catarina
Boa;minas gerais
Boa Esporte;minas-gerais
Boavista;rio de janeiro
Boavista-RJ;rio-de-janeiro
Boca Júnior-SE;sergipe
Bolamense;distrito-federal
Bom Jesus EC;goias
Bonsucesso;rio-de-janeiro
Boquinhense;sergipe
Boston City Brasil;minas-gerais
Botafogo;rio-de-janeiro
Botafogo Pb;paraiba
Botafogo-BA;bahia
Botafogo-DF;distrito-federal
Botafogo-PB;paraiba
Botafogo-SE;sergipe
Botafogo-SP;sao-paulo
Bragantino;para
Bragantino-PA;para
Brasil;rio grande do sul
Brasil de Farroupilha;rio-grande-do-sul
Brasileirinho;rio-de-janeiro
Brasiliense;distrito-federal
Brasilis;sao-paulo
Brasília;distrito-federal
Brazlândia;distrito-federal
Brusque;santa-catarina
Bréscia;rio-de-janeiro
Búzios;rio-de-janeiro
CA Patrocinense;minas-gerais
CA Votuporanguense;sao-paulo
CAAC Brasil FC;rio-de-janeiro
CAP de Uberlândia;minas-gerais
CDC da Amazônia;amazonas
CEO;alagoas
CEOV Operário;mato-grosso
CR Aquidauana;mato-grosso-do-sul
CRAC;goias
CRB;alagoas
CRB B;alagoas
CSA;alagoas
CSA B;alagoas
CSE;alagoas
CSP;paraiba
CTE Colatina;espirito-santo
Cabense;pernambuco
Cabofriense;rio-de-janeiro
Cacerense;mato-grosso
Caeté;para
Caiçara;piaui
Caldense;minas-gerais
Calouros do Ar;ceara
Camaçari;bahia
Camaçariense;bahia
Camboriu;santa catarina
Camboriú;santa-catarina
Cambé;parana
Cametá;para
Campinense;paraiba
Campo Grande-CE;ceara
Campo Grande-RJ;rio-de-janeiro
Campo Mourão;parana
Campo Novo FC;mato-grosso
Campos;rio-de-janeiro
Canaã;bahia
Canaã FC;para
Candango EC;distrito-federal
Canindé;sergipe
Canoinhas;santa-catarina
Canário;amapa
Capital;tocantins
Capital CF;distrito-federal
Capital Fc;tocantins
Capitão Poço;para
Capivariano;sao-paulo
Capixaba;espirito-santo
Carajás;para
Carapebus;rio-de-janeiro
Caravaggio;santa-catarina
Cariri FC;ceara
Carlos Renaux;santa-catarina
Caruaru City;pernambuco
Cascavel;parana
Casimiro de Abreu;rio-de-janeiro
Castanhal;para
Castelo;espirito-santo
Catanduva;sao-paulo
Caucaia;ceara
Caxias;rio-grande-do-sul
Caçador;santa-catarina
Ceart;mato-grosso-do-sul
Ceará;ceara
Ceará B;ceara
Ceilandense;distrito-federal
Ceilândia;distrito-federal
Central;pernambuco
Central Paraíso;tocantins
Centro Limoeirense;pernambuco
Centro Oeste FC;goias
Ceov Operário;mato grosso
Ceres;rio-de-janeiro
Cerrado EC;goias
Chapadinha;maranhao
Chapecoense;santa-catarina
Chapecoense B;santa-catarina
Chã Grande;pernambuco
Cianorte;parana
City London FC;parana
Cliper;amazonas
Clube 1992;rio-grande-do-sul
Coimbra-MG;minas-gerais
Coimbra-MG B;minas-gerais
Colinas;tocantins
Colo Colo-BA;bahia
Colorado Caieiras;sao-paulo
Comercial;sao-paulo
Comercial de Três Lagoas;mato-grosso-do-sul
Comercial-MS;mato-grosso-do-sul
Comercial-PI;piaui
Concordia Atlético Clube;santa catarina
Concórdia;santa-catarina
Confiança;sergipe
Confiança-PB;paraiba
Contagem;minas-gerais
Cordino;maranhao
Corinthians;sao-paulo
Corisabbá;piaui
Coritiba;parana
Coritiba B;parana
Coritiba-SE;sergipe
Corumbaense;mato-grosso-do-sul
Coruripe;alagoas
Costa Rica;mato grosso do sul
Costa Rica EC;mato-grosso-do-sul
Cotinguiba;sergipe
Coxim;mato-grosso-do-sul
Crac;goias
Crateús;ceara
Crato;ceara
Criciúma;santa-catarina
Criciúma B;santa-catarina
Cristal;amapa
Crixás;goias
Cruzeiro;minas-gerais
Cruzeiro-AL;alagoas
Cruzeiro-AP;amapa
Cruzeiro-DF;distrito-federal
Cruzeiro-PB;paraiba
Cruzeiro-RS;rio-grande-do-sul
Cuiabá;mato-grosso
Cuiabá B;mato-grosso
Cáceres;mato-grosso
Decisão;pernambuco
Democrata;minas gerais
Democrata-GV;minas-gerais
Democrata-SL;minas-gerais
Desportiva Aracaju;sergipe
Desportiva Ferroviária;espirito-santo
Desportiva Guarabira;paraiba
Desportivo Aliança;alagoas
Desportivo Brasil;sao-paulo
Dimensão Saúde;alagoas
Doce Mel;bahia
Dom Bosco;mato-grosso
Dorense;sergipe
Dourados;mato grosso do sul
Dourados AC;mato-grosso-do-sul
Duque Caxiense;rio-de-janeiro
Duque de Caxias;rio-de-janeiro
Dínamo EC;alagoas
EC Novo Horizonte;rio-grande-do-sul
EC Resende;rio-de-janeiro
EC São Bernardo;sao-paulo
EC São Gabriel;rio-grande-do-sul
EC Tupy;espirito-santo
EC Vera Cruz-RJ;rio-de-janeiro
EC Água Santa;sao-paulo
ECUS;sao-paulo
ESMAC;para
Ec Democrata;minas gerais
Elite CD;rio-grande-do-sul
Elosport Capão Bonito;sao-paulo
Esporte;paraiba
Esporte Limoeiro;ceara
Esportivo;rio-grande-do-sul
Essube;minas-gerais
Estanciano;sergipe
Estrela do Norte;espirito-santo
Expressinho;maranhao
FC Cascavel;parana
FC Pantanal;mato-grosso-do-sul
FC Rio de Janeiro;rio-de-janeiro
FC Riograndense;rio-grande-do-sul
FEMAR;paraiba
FF Sport;alagoas
Falcon;sergipe
Falcon FC;sergipe
Farroupilha;rio-grande-do-sul
Fast Clube;amazonas
Feirense;bahia
Fernandópolis;sao-paulo
Ferroviaria;sao paulo
Ferroviária;sao-paulo
Ferroviário;ceara
Ferroviário do Cabo;pernambuco
Ferroviário-PI;piaui
Figueirense;santa-catarina
Figueirense-MG;minas-gerais
Flamengo;rio-de-janeiro
Flamengo de Guanambi;bahia
Flamengo-PE;pernambuco
Flamengo-PI;piaui
Flamengo-SE;sergipe
Flamengo-SP;sao-paulo
Floresta;ceara
Floresta-CE;ceara
Fluminense;rio-de-janeiro
Fluminense de Feira;bahia
Fluminense de Joinville;santa-catarina
Fluminense-PI;piaui
Fonte Nova;para
Formosa;distrito-federal
Fortaleza;ceara
Fortaleza B;ceara
Forte FC;espirito-santo
Força Jovem Aquidabã;sergipe
Força e Luz-RN;rio-grande-do-norte
Foz do Iguaçu;parana
Francana;sao-paulo
Frei Paulistano;sergipe
Friburguense;rio-de-janeiro
Futebol Com Vida;rio-grande-do-sul
G.A.S.;roraima
GAS;roraima
GE Brasil;rio-grande-do-sul
GEL;espirito-santo
Galo Maringá;parana
Galvez;acre
Galvez EC;acre
Galícia;bahia
Gama;distrito-federal
Garibaldi;rio-grande-do-sul
Gavião Kyikatejê;para
Gazin Porto Velho;rondonia
Gazin Porto Velho EC;rondonia
Gaúcho;rio-grande-do-sul
Genus;rondonia
Globo;rio grande do norte
Globo FC;rio-grande-do-norte
Gloria;rio grande do sul
Glória;rio-grande-do-sul
Goianesia;goias
Goiania;goias
Goianésia;goias
Goiatuba;goias
Goiatuba EC;goias
Goiás;goias
Goiânia;goias
Gonçalense;rio-de-janeiro
Goytacaz;rio-de-janeiro
Gramadense;rio-grande-do-sul
Grapiúna;bahia
Grecal;parana
