estado;clube;clube_canonical;cidade;latitude;longitude
acre;ADESG;ADESG;;;
acre;ANDIRÁ;ANDIRÁ;;;
acre;ATLÉTICO;ATLÉTICO;;;
acre;GALVEZ;GALVEZ;;;
acre;HUMAITÁ;HUMAITÁ;;;
acre;INDEPENDÊNCIA;INDEPENDÊNCIA;;;
acre;NÁUAS;NÁUAS;;;
acre;PLÁCIDO DE CASTRO;PLÁCIDO DE CASTRO;;;
acre;RIO BRANCO;RIO BRANCO;;;
acre;SANTA CRUZ;SANTA CRUZ;;;
acre;SÃO FRANCISCO;SÃO FRANCISCO;;;
acre;VASCO DA GAMA;VASCO DA GAMA;;;
alagoas;AGRIMAQ JEQUIAENSE;AGRIMAQ JEQUIAENSE;;;
alagoas;ASA;ASA;;;
alagoas;CEO;CEO;;;
alagoas;CORURIPE;CORURIPE;;;
alagoas;CRB;CRB;;;
alagoas;CRB B;CRB B;;;
alagoas;CRUZEIRO;CRUZEIRO;;;
alagoas;CSA;CSA;;;
alagoas;CSA B;CSA B;;;
alagoas;CSE;CSE;;;
alagoas;DESPORTIVO ALIANÇA;DESPORTIVO ALIANÇA;;;
alagoas;DIMENSÃO SAÚDE;DIMENSÃO SAÚDE;;;
alagoas;DÍNAMO;DÍNAMO;;;
alagoas;FF SPORT;FF SPORT;;;
alagoas;GUARANY;GUARANY;;;
alagoas;IGACI;IGACI;;;
alagoas;JACIOBÁ;JACIOBÁ;;;
alagoas;MIGUELENSE;MIGUELENSE;;;
alagoas;MURICI;MURICI;;;
alagoas;PENEDENSE;PENEDENSE;;;
alagoas;SÃO DOMINGOS;SÃO DOMINGOS;;;
alagoas;ZUMBI;ZUMBI;;;
amapa;ADEC;ADEC;;;
amapa;BARE;BARE;;;
amapa;CANÁRIO;CANÁRIO;;;
amapa;CRISTAL;CRISTAL;;;
amapa;CRUZEIRO;CRUZEIRO;;;
amapa;INDEPENDENTE;INDEPENDENTE;;;
amapa;LAGOA;LAGOA;;;
amapa;LATITUDE ZERO;LATITUDE ZERO;;;
amapa;MACAPÁ;MACAPÁ;;;
amapa;MAZAGÃO;MAZAGÃO;;;
amapa;ORATÓRIO;ORATÓRIO;;;
amapa;PORTUGUESA;PORTUGUESA;;;
amapa;RENOVAÇÃO;RENOVAÇÃO;;;
amapa;SANTANA;SANTANA;;;
amapa;SANTOS;SANTOS;;;
amapa;SÃO JOSÉ;SÃO JOSÉ;;;
amapa;SÃO PAULO;SÃO PAULO;;;
amapa;TREM;TREM;;;
amapa;YPIRANGA;YPIRANGA;;;
amazonas;ALVORADA;ALVORADA;;;
amazonas;AMAZONAS;AMAZONAS;;;
amazonas;ATLÉTICO AMAZONENSE;ATLÉTICO AMAZONENSE;;;
amazonas;CDC DA AMAZÔNIA;CDC DA AMAZÔNIA;;;
amazonas;CLIPER;CLIPER;;;
amazonas;FAST CLUBE;FAST CLUBE;;;
amazonas;IRANDUBA;IRANDUBA;;;
amazonas;ITACOATIARA;ITACOATIARA;;;
amazonas;JC FUTEBOL CLUBE;JC FUTEBOL CLUBE;;;
amazonas;LIBRADE;LIBRADE;;;
amazonas;MANAUARA;MANAUARA;;;
amazonas;MANAUS;MANAUS;;;
amazonas;NACIONAL;NACIONAL;;;
amazonas;OPERÁRIO;OPERÁRIO;;;
amazonas;PARINTINS;PARINTINS;;;
amazonas;PENAROL;PENAROL;;;
amazonas;PRINCESA;PRINCESA;;;
amazonas;PRINCESA DO SOLIMÕES;PRINCESA DO SOLIMÕES;;;
amazonas;RB DO NORTE;RB DO NORTE;;;
amazonas;RIO NEGRO;RIO NEGRO;;;
amazonas;SETE;SETE;;;
amazonas;SUL AMÉRICA;SUL AMÉRICA;;;
amazonas;SÃO RAIMUNDO;SÃO RAIMUNDO;;;
amazonas;TARUMÃ;TARUMÃ;;;
bahia;ATLÉTICO;ATLÉTICO;;;
bahia;BAHIA;BAHIA;;;
bahia;BAHIA DE FEIRA;BAHIA DE FEIRA;;;
bahia;BARCELONA DE ILHÉUS;BARCELONA DE ILHÉUS;;;
bahia;BOTAFOGO;BOTAFOGO;;;
bahia;CAMAÇARI;CAMAÇARI;;;
bahia;CAMAÇARIENSE;CAMAÇARIENSE;;;
bahia;CANAÃ;CANAÃ;;;
bahia;COLO COLO;COLO COLO;;;
bahia;DOCE MEL;DOCE MEL;;;
bahia;FEIRENSE;FEIRENSE;;;
bahia;FLAMENGO DE GUANAMBI;FLAMENGO DE GUANAMBI;;;
bahia;FLUMINENSE DE FEIRA;FLUMINENSE DE FEIRA;;;
bahia;GALÍCIA;GALÍCIA;;;
bahia;GRAPIÚNA;GRAPIÚNA;;;
bahia;ITABUNA;ITABUNA;;;
bahia;JACOBINA;JACOBINA;;;
bahia;JACOBINENSE;JACOBINENSE;;;
bahia;JACUIPENSE;JACUIPENSE;;;
bahia;JEQUIÉ;JEQUIÉ;;;
bahia;JUAZEIRENSE;JUAZEIRENSE;;;
bahia;JUAZEIRO;JUAZEIRO;;;
bahia;LEÔNICO;LEÔNICO;;;
bahia;PORTELA;PORTELA;;;
bahia;PORTO;PORTO;;;
bahia;SSA;SSA;;;
bahia;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;;;
bahia;UNIRB;UNIRB;;;
bahia;VITÓRIA;VITÓRIA;;;
bahia;VITÓRIA DA CONQUISTA;VITÓRIA DA CONQUISTA;;;
bahia;YPIRANGA;YPIRANGA;;;
ceara;ALIANÇA;ALIANÇA;;;
ceara;ANJOS DO CÉU;ANJOS DO CÉU;;;
ceara;ARSENAL CARIDADE;ARSENAL CARIDADE;;;
ceara;ATLÉTICO;ATLÉTICO;;;
ceara;ATLÉTICO CEARENSE;ATLÉTICO CEARENSE;;;
ceara;BARBALHA;BARBALHA;;;
ceara;CALOUROS DO AR;CALOUROS DO AR;;;
ceara;CAMPO GRANDE;CAMPO GRANDE;;;
ceara;CARIRI;CARIRI;;;
ceara;CAUCAIA;CAUCAIA;;;
